,Season,Country,Winners,Runners-up,Country.1,Venue,Attend­ance,Notes,Winner_Goals,Runnersup_Goals
48,2002–03,Italy,AC Milan,Juventus,Italy,"Old Trafford, Manchester, England",62315,Match was won on a penalty shoot-out,0,0
49,2003–04,Portugal,FC Porto,Monaco,France,"Arena AufSchalke, Gelsenkirchen, Germany",53053,Match was won in regulation time,3,0
50,2004–05,England,Liverpool FC,AC Milan,Italy,"Atatürk Olympic Stadium, Istanbul, Turkey",69000,Match was won on a penalty shoot-out,3,3
51,2005–06,Spain,FC Barcelona,Arsenal FC,England,"Stade de France, Saint-Denis, France",79610,Match was won in regulation time,2,1
52,2006–07,Italy,AC Milan,Liverpool FC,England,"Olympic Stadium, Athens, Greece",63000,Match was won in regulation time,2,1
53,2007–08,England,Manchester United,Chelsea FC,England,"Luzhniki Stadium, Moscow, Russia",67310,Match was won on a penalty shoot-out,1,1
54,2008–09,Spain,FC Barcelona,Manchester United,England,"Stadio Olimpico, Rome, Italy",62467,Match was won in regulation time,2,0
55,2009–10,Italy,Inter Milan,Bayern Munich,Germany,"Santiago Bernabéu, Madrid, Spain",73490,Match was won in regulation time,2,0
56,2010–11,Spain,FC Barcelona,Manchester United,England,"Wembley Stadium, London, England",87695,Match was won in regulation time,3,1
57,2011–12,England,Chelsea FC,Bayern Munich,Germany,"Allianz Arena, Munich, Germany",62500,Match was won on a penalty shoot-out,1,1
58,2012–13,Germany,Bayern Munich,Borussia Dortmund,Germany,"Wembley Stadium, London, England",86298,Match was won in regulation time,2,1
59,2013–14,Spain,Real Madrid,Atlético Madrid,Spain,"Estádio da Luz, Lisbon, Portugal",60976,Match was won during extra time,4,1
60,2014–15,Spain,FC Barcelona,Juventus,Italy,"Olympiastadion, Berlin, Germany",70442,Match was won in regulation time,3,1
61,2015–16,Spain,Real Madrid,Atlético Madrid,Spain,"San Siro, Milan, Italy",71942,Match was won on a penalty shoot-out,1,1
62,2016–17,Spain,Real Madrid,Juventus,Italy,"Millennium Stadium, Cardiff, Wales",65842,Match was won in regulation time,4,1
63,2017–18,Spain,Real Madrid,Liverpool FC,England,"NSC Olimpiyskiy Stadium, Kyiv, Ukraine",61561,Match was won in regulation time,3,1
64,2018–19,England,Liverpool FC,Tottenham Hotspur,England,"Metropolitano Stadium, Madrid, Spain",63272,Match was won in regulation time,2,0
65,2019–20,Germany,Bayern Munich,Paris Saint-Germain,France,"Estádio da Luz, Lisbon, Portugal",0,Match was won in regulation time,1,0
66,2020–21,England,Chelsea FC,Manchester City,England,"Estádio do Dragão, Porto, Portugal",14110,Match was won in regulation time,1,0
67,2021–22,Spain,Real Madrid,Liverpool FC,England,"Stade de France, Saint-Denis, France",75000,Match was won in regulation time,1,0
68,2022–23,England,Manchester City,Inter Milan,Italy,"Atatürk Olympic Stadium, Istanbul, Turkey",71412,Match was won in regulation time,1,0
